 7130.00,139.817111,      59,     140,     164,     224,     294,     449,    1353
 2869.00,163.364587,      55,     165,     213,     234,     275,     459,    3750
 6137.00,162.467818,      55,     159,     213,     244,     350,     480,     985
 3862.00,129.274210,      53,     140,     147,     188,     267,     405,    4174
 6656.00,149.795373,      53,     155,     178,     229,     340,     415,    1160
 6091.00,163.938762,      55,     156,     209,     268,     385,     571,    2760
 5980.00,166.978930,      73,     153,     217,     306,     403,     471,     811
 6609.00,151.041761,      57,     150,     203,     227,     250,     366,     637
 6526.00,152.988048,      56,     149,     208,     231,     254,     336,     521
 5301.00,188.374269,      55,     196,     226,     354,     410,     464,    1738
 7201.00,138.529232,      57,     144,     161,     213,     238,     273,     971
 7443.00,134.109096,      56,     137,     158,     212,     232,     284,    1789
 8174.00,122.106313,      58,     131,     137,     201,     225,     277,     825
 7122.00,140.168492,      54,     138,     194,     220,     235,     288,    1339
 7222.00,138.201883,      57,     142,     163,     211,     233,     273,    2100
 7296.00,136.854304,      56,     138,     160,     209,     377,     453,    2133
 3274.00,304.908674,      64,     347,     410,     445,     474,     572,    1457
 5387.00,185.102283,      82,     182,     229,     291,     411,     461,     619
 1337.00,196.442034,      69,     184,     238,     385,     433,     484,    1107
10019.00,1738.590478,      10,     398,     705,    1275,    2656,  230266,  231254
10000.00,68.062900,       9,      13,      14,      18,      21,      74,  282915
13543.00,73.644097,       9,      14,      14,      22,      36,      75,  299831
10590.00,93.489613,       9,      13,      13,      21,      21,     121,  306314
 9953.00,69.805385,      10,      13,      14,      21,      22,      34,  315383
 9953.00,73.805586,      10,      13,      13,      17,      21,      27,  309500
13271.00,63.604325,      10,      14,      14,      18,      19,      26,  220078
13265.00,69.560422,       9,      14,      14,      15,      15,      29,  299613
13272.00,74.094108,      10,      13,      14,      17,      20,      29,  284072
 9953.00,73.520446,       9,      14,      14,      17,      18,      30,  296735
 6192.00,69.722707,      10,      14,      14,      14,      14,      26,  347702
 5941.00,167.767884,      53,     158,     216,     363,     415,     652,    1481
 5154.00,193.840900,      55,     177,     227,     400,     438,     480,    1219
 4755.00,209.972029,      73,     201,     252,     403,     438,     471,    1370
 5296.00,188.469411,      55,     169,     227,     391,     428,     475,     939
 6747.00,147.696606,      57,     142,     187,     232,     397,     496,    1927
 5760.00,173.308681,      59,     162,     219,     284,     408,     465,    2085
 5638.00,177.027669,      63,     178,     227,     253,     279,     324,    1256
 6438.00,154.770892,      58,     142,     194,     335,     428,     490,    1421
 5708.00,174.965837,      57,     143,     226,     383,     434,     470,    1961
 4877.00,204.737133,      74,     195,     238,     399,     436,     472,    1300
 6108.00,163.207760,      54,     163,     210,     236,     363,     508,    1338
 5793.00,172.355256,      55,     170,     221,     254,     374,     436,    1106
 5975.00,167.047531,      75,     169,     213,     231,     272,     423,    1188
 5218.00,191.346876,      71,     192,     227,     375,     433,     480,     803
 6204.00,160.814636,      61,     150,     217,     281,     384,     436,    1512
 7120.00,140.094101,      61,     121,     179,     249,     404,     460,    1232
 5815.00,171.435770,      53,     149,     219,     383,     428,     544,    1136
 5589.00,178.654858,      57,     175,     221,     281,     386,     437,     494
 5230.00,190.867495,      76,     196,     231,     327,     404,     456,     970
 6091.00,163.776556,      57,     167,     215,     234,     298,     574,    1695
 6626.00,150.713402,      66,     144,     205,     225,     248,     346,    2211
 6617.00,150.900106,      57,     145,     206,     224,     239,     287,     761
 7506.00,132.980549,      56,     135,     157,     217,     233,     415,     578
 7722.00,129.057369,      55,     121,     174,     205,     348,     468,     981
 9322.00,107.141064,      53,     113,     120,     174,     230,     380,     865
 6181.00,161.816858,      60,     129,     209,     384,     432,     489,     861
 5717.00,174.554312,      65,     161,     222,     369,     426,     487,     729
 5654.00,176.417934,      61,     163,     217,     374,     427,     489,     742
 5350.00,186.535701,      73,     173,     226,     385,     446,     483,     734
 4695.00,212.627689,      56,     198,     287,     406,     441,     491,     652
 5592.00,178.412375,      71,     165,     219,     367,     415,     459,     960
 5862.00,170.189014,      54,     162,     218,     298,     416,     472,     843
 5630.00,177.288988,      65,     171,     218,     361,     400,     454,     901
 6892.00,144.451538,      58,     136,     186,     231,     270,     591,    1530
 5711.00,174.763614,      62,     175,     222,     264,     367,     425,     973
 5441.00,183.348833,      60,     176,     227,     333,     420,     476,     996
 5782.00,172.535282,      69,     162,     222,     287,     392,     440,     483
 5040.00,197.943254,      69,     202,     247,     332,     410,     458,     832
 5600.00,178.034643,      56,     174,     225,     290,     409,     442,     620
 6345.00,157.145784,      57,     161,     201,     229,     255,     381,     516
 6474.00,154.056843,      66,     164,     184,     227,     235,     270,     778
100009.00,195.799708,      55,     194,     253,     313,     376,     541,    3075
100009.00,197.278635,      54,     196,     256,     317,     377,     470,    5459
48406.00,205.667996,      55,     202,     265,     326,     390,     959,    5705
49680.00,204.726389,      58,     202,     263,     323,     377,     487,   10202
50843.00,199.916960,      57,     196,     257,     317,     376,     493,   10290
51509.00,197.797589,      54,     195,     256,     317,     378,     465,    6463
79546.00,624.892414,      58,     599,     803,     985,    1212,   19073,   48388
88315.00,586.844273,      65,     587,     786,     956,    1106,    1498,   22239
88531.00,587.234449,      59,     588,     813,    1025,    1225,    1491,    1946
88336.00,586.109876,      57,     587,     826,    1006,    1160,    2554,    9403
89485.00,579.016830,      60,     587,     792,     959,    1102,    1321,    8843
91426.00,567.156170,      65,     575,     778,     940,    1079,    1400,    5566
91914.00,565.212775,      69,     578,     770,     933,    1071,    1244,    1926
90519.00,573.197262,      70,     579,     789,     961,    1110,    1341,    8941
90683.00,571.818268,      59,     580,     776,     938,    1077,    1330,    9703
89266.00,580.546983,      58,     589,     831,     993,    1135,    1343,    8619
88912.00,582.442617,      60,     589,     796,     965,    1110,    1320,    9039
87835.00,589.697159,      58,     593,     801,     972,    1121,    8756,    9790
88362.00,585.707521,      59,     598,     803,     975,    1125,    1396,    9120
92681.00,558.754286,      59,     570,     749,     901,    1035,    1261,    9277
83852.00,618.788520,      60,     626,     826,    1008,    1195,    1780,    8863
87562.00,591.879971,      68,     596,     801,     976,    1151,    3071,    9858
88043.00,589.737322,      68,     602,     784,     943,    1087,    1367,    9165
83501.00,595.081544,      64,     604,     788,     965,    1190,    2091,    4722
88446.00,587.262963,      65,     603,     779,     936,    1113,    1469,    2490
88560.00,587.961766,      63,     601,     792,     965,    1133,    1344,    1879
89610.00,578.278339,      65,     590,     799,     973,    1119,    1344,    3062
93003.00,557.069009,      65,     568,     759,     917,    1058,    1248,    1750
91329.00,1084.586681,      57,    1110,    1438,    1727,    2189,    3384,   44463
95714.00,1090.473181,      67,    1113,    1434,    1681,    1911,   18879,   23594
95766.00,1090.563749,      65,    1102,    1450,    1750,    2153,   19334,   23951
97920.00,1068.401072,      58,    1084,    1421,    1679,    1924,   14038,   18252
97095.00,1079.970730,      61,    1085,    1424,    1750,    2273,   19874,   23101
99499.00,1053.759244,      63,    1077,    1402,    1680,    2036,    5397,   11072
83631.00,594.726310,      58,     601,     779,     940,    1172,    2931,   11851
16417.00,593.591947,      85,     612,     788,     942,    1092,    1331,    2115
84787.00,586.787963,      63,     598,     775,     935,    1140,    2108,    6025
89565.00,580.098119,      64,     586,     769,     942,    1165,    1670,    9521
